"Dulu di puing"" bangunan nya di tancepin itu eks rumah siapa(org"" belanda)",dulu di puing bangunan nya di tancepin itu eks rumah siapaorg belanda,netral,Glamping Lakeside
"Aku butuh 10 menit nyampe puntang,,nah eks pemancar radio itu yg di sebut gedong sabahu",aku butuh menit nyampe puntangnah eks pemancar radio itu yg di sebut gedong sabahu,netral,Gunung Puntang
pengen kesini,pengen kesini,positif,Gunung Puntang
"Kenapa sampai tidak bisa dipertahankan ?... Padahal manfaatnya banyak dan  membangunnya pun lama, dan tidak mudah, butuh biaya yang banyak.",kenapa sampai tidak bisa dipertahankan padahal manfaatnya banyak dan membangunnya pun lama dan tidak mudah butuh biaya yang banyak,netral,Situ Patenggang
Pinter ni yg punya chanel bkn cuma eksplore tpi sejarah sm ttg peradion jga paham,pinter ni yg punya chanel bkn cuma eksplore tpi sejarah sm ttg peradion jga paham,netral,Gunung Puntang
"Sayang di hancurkan, padahal keren",sayang di hancurkan padahal keren,positif,Kawah Putih
Warga +62 emang lebay... 🤣..kolam cinta... Cinta mulu yg dipikirin.... Bau lah,warga emang lebay kolam cinta cinta mulu yg dipikirin bau lah,negatif,Kawah Putih
Bener kata Rangga sasena Sunda Empire semua berawal dari Bandung,bener kata rangga sasena sunda empire semua berawal dari bandung,netral,Glamping Lakeside
Terimakasih atas liputan video nya ..saya jadi tau tuh .,terimakasih atas liputan video nya saya jadi tau tuh,netral,Ranca Upas
Alhamdulillah puntang ayeuna mah terawat beda pisan pas jaman abi smp pabalatak se.eur muda mudi anu nyarumput di semak semak duka nuju naon wkwk,alhamdulillah puntang ayeuna mah terawat beda pisan pas jaman abi smp pabalatak seeur muda mudi anu nyarumput di semak semak duka nuju naon wkwk,netral,Glamping Lakeside
"Kecamatan Cimaung lebih tepatnya, bukan Banjaran",kecamatan cimaung lebih tepatnya bukan banjaran,netral,Ranca Upas
"Ya,, disana ada anomali gelombang elektromagnetik yg bs memancarkan sangat jauh...",ya disana ada anomali gelombang elektromagnetik yg bs memancarkan sangat jauh,netral,Kawah Putih
HALO BANDOENG GUTEN MORGEN  GUNUNG PUNTANG di CI.MAUNG BANJARAN,halo bandoeng guten morgen gunung puntang di cimaung banjaran,netral,Gunung Puntang
Tetap di syiar dalam gelap,tetap di syiar dalam gelap,netral,Situ Patenggang
pernah liat liputan dari stv (tv lokal bandung sebelum dibeli kompas) ada penampakan di bekas bangunan nya,pernah liat liputan dari stv tv lokal bandung sebelum dibeli kompas ada penampakan di bekas bangunan nya,netral,Gunung Puntang
Alhamdulillah tahun 2000 sering kesitu dan pernah ke Curug/air terjunnya meskipun perjalanan yg cukup melelahkan.,alhamdulillah tahun sering kesitu dan pernah ke curugair terjunnya meskipun perjalanan yg cukup melelahkan,negatif,Glamping Lakeside
Pasti di sebut mistis padahal cuma cerita 😅,pasti di sebut mistis padahal cuma cerita,negatif,Glamping Lakeside
"ada cerita gak , bagaimana peralatan yang begitu dahsyat , bisa hilang tak berbekas sama sekali? . . . wah",ada cerita gak bagaimana peralatan yang begitu dahsyat bisa hilang tak berbekas sama sekali wah,netral,Gunung Puntang
luarbiasa . . . satu satunya di bumi,luarbiasa satu satunya di bumi,positif,Ranca Upas
Walaupun sudah menjadi tempat destinasi wisata namun kalau di lihat masih terasa angker mungkin karena ini peninggalan jaman dulu jadi terkesan seram....,walaupun sudah menjadi tempat destinasi wisata namun kalau di lihat masih terasa angker mungkin karena ini peninggalan jaman dulu jadi terkesan seram,netral,Kawah Putih
"Tahun 1990an awal sering sekali ke sini, bermalam tenda dan bahkan di puing2 bangunan, kemudian mengeksplorasi  hutan2 di sekitar nya. Air masih banyak, dimana2 mengalir, kolam masih berisi air. Suhu di malam hari saat musim kemarau bisa sangat dingin, sebalik nya jika di musim hujan suhu di malam hari jauh lebih hangat. Satwa liar di temukan berupa hewan2 mamalia, jenis aves yg suara nya indah,  dan reptil yg masih gesit. Entah lah jika hari ini jika nampak di video sangat ramai pengunjung. Trima kasih video nya, semoga kawasan ini tetap lestari.",tahun an awal sering sekali ke sini bermalam tenda dan bahkan di puing bangunan kemudian mengeksplorasi hutan di sekitar nya air masih banyak dimana mengalir kolam masih berisi air suhu di malam hari saat musim kemarau bisa sangat dingin sebalik nya jika di musim hujan suhu di malam hari jauh lebih hangat satwa liar di temukan berupa hewan mamalia jenis aves yg suara nya indah dan reptil yg masih gesit entah lah jika hari ini jika nampak di video sangat ramai pengunjung trima kasih video nya semoga kawasan ini tetap lestari,positif,Kawah Putih
Andai bangunan maseh utuh.. Pasti keren tuh,andai bangunan maseh utuh pasti keren tuh,positif,Glamping Lakeside
"Saya pecinta Radio , sekarang lebih banyak berkomunikasi di Band UHF-VHF, Yg pakai HF kebanyakan senior yg sudah tidak muda lagi, jangan sampai Radio komunikasi hilang di nusantara.",saya pecinta radio sekarang lebih banyak berkomunikasi di band uhfvhf yg pakai hf kebanyakan senior yg sudah tidak muda lagi jangan sampai radio komunikasi hilang di nusantara,netral,Situ Patenggang
Padahal dulu di rusakin aja barang-peralatan radionya jgn dihancurin semua dengan bangunannya kan bisa dijual di loak...😂😂🤣,padahal dulu di rusakin aja barangperalatan radionya jgn dihancurin semua dengan bangunannya kan bisa dijual di loak,negatif,Gunung Puntang
Kolam cinta bagus sekarang..dulu aku jaman sekolah di ospek di kolam cinta yaitu lumpur semua...sekarang bagus ya ...rapih...dulu mah termasuk agker,kolam cinta bagus sekarangdulu aku jaman sekolah di ospek di kolam cinta yaitu lumpur semuasekarang bagus ya rapihdulu mah termasuk agker,positif,Glamping Lakeside
Angker..tergantung kitanya...membawa situasi nya ke alam...kalo kita baik2 saja sama alam adem ke hati...😊😅,angkertergantung kitanyamembawa situasi nya ke alamkalo kita baik saja sama alam adem ke hati,netral,Situ Patenggang
"Masyaalloh, terimakasih sdh memberikan ilmu pengetahuan ... Sehat dan sukses sll ...",masyaalloh terimakasih sdh memberikan ilmu pengetahuan sehat dan sukses sll,netral,Kawah Putih
"Iya dah jakarta mah polusi
Beda sama bandung yang asri",iya dah jakarta mah polusi beda sama bandung yang asri,positif,Gunung Puntang
Bentar dah bang lu kan dari garut ngapa bawa jakarta dah yg banyak polusi...😂😂😂😂😂😂😂 Biarpun polusi jakarta kota para pemimpi...wkwkwkw,bentar dah bang lu kan dari garut ngapa bawa jakarta dah yg banyak polusi biarpun polusi jakarta kota para pemimpiwkwkwkw,netral,Ranca Upas
"Maap bang nambah inpormasinya,di wilayah gunung puntang itu ada yang nama nya gedung sabahu yang atas nya ada kolam",maap bang nambah inpormasinyadi wilayah gunung puntang itu ada yang nama nya gedung sabahu yang atas nya ada kolam,netral,Gunung Puntang
"Anjing lu bw2 jakarta banyak polusi, yaudah tinggal disitu aj",anjing lu bw jakarta banyak polusi yaudah tinggal disitu aj,netral,Gunung Puntang
"Berarti lebih hebat jman dulu y dibanding jmn sekarang,",berarti lebih hebat jman dulu y dibanding jmn sekarang,netral,Gunung Puntang
"Skrng ada bescamp nya tuyul milenium kan ya?
Anji",skrng ada bescamp nya tuyul milenium kan ya anji,negatif,Glamping Lakeside
Lebih angker Bir lagi. Diminum langsung mabuk. Cuma angker bgtu tempat nya. Tapi gak bikin mabuk,lebih angker bir lagi diminum langsung mabuk cuma angker bgtu tempat nya tapi gak bikin mabuk,netral,Ranca Upas
Mengenang masa lalu 1992 pernah kemah di Gn puntang setelah penataran p4di sekolah kemana ya tman2ku sekarang...aku sekarang .,mengenang masa lalu pernah kemah di gn puntang setelah penataran pdi sekolah kemana ya tmanku sekarangaku sekarang,netral,Situ Patenggang
"Ieu mh tempat sy CPD, aslina jd kangen lembur euy.",ieu mh tempat sy cpd aslina jd kangen lembur euy,positif,Glamping Lakeside
"😮 MasyaAllah seperti ini toh' lokasi kolam cinta sekarang, 2012 yang lalu saya bersama team ada acara gathering kemah pas di samping kolam itu, saat itu suasana mistis masih berasa banget, bahkan tenda kami aja sampe di santronin pocong, trus di bongkaran bangunan batu itu setiap pagi ada sosok anjing hitam yang memperhatikan tenda kami tapi tiba-tiba anjingnya menghilang, team kami aja sampai ada yang kesurupan, tapi kata penjaga area itu, dari sekian banyak pekemah baru kali ini ada team yang nekat berkemah pas di samping kolam cinta",masyaallah seperti ini toh lokasi kolam cinta sekarang yang lalu saya bersama team ada acara gathering kemah pas di samping kolam itu saat itu suasana mistis masih berasa banget bahkan tenda kami aja sampe di santronin pocong trus di bongkaran bangunan batu itu setiap pagi ada sosok anjing hitam yang memperhatikan tenda kami tapi tibatiba anjingnya menghilang team kami aja sampai ada yang kesurupan tapi kata penjaga area itu dari sekian banyak pekemah baru kali ini ada team yang nekat berkemah pas di samping kolam cinta,netral,Kawah Putih
Sekarang negri ini di habisin penguasa..dulu mati²an nenek moyang kita.,sekarang negri ini di habisin penguasadulu mati²an nenek moyang kita,netral,Gunung Puntang
Duh can pernah kaditu.. Jd hayang kaditu . Sukses terus mang idris,duh can pernah kaditu jd hayang kaditu sukses terus mang idris,netral,Gunung Puntang
Harus nya pake kata dulu...jd gk ada kesan wahhh,harus nya pake kata dulujd gk ada kesan wahhh,negatif,Glamping Lakeside
Banyak QORIN Noni Belanda nya bg tapi mereka baik2 tenang aja😊,banyak qorin noni belanda nya bg tapi mereka baik tenang aja,netral,Glamping Lakeside
Kenapa di anggap angker karena supaya hutan nya terjaga gak ada manusia yang merusaknya itu alesan nya,kenapa di anggap angker karena supaya hutan nya terjaga gak ada manusia yang merusaknya itu alesan nya,negatif,Glamping Lakeside
Garut nama yg mulai mendunia gara gara band VOB yg konser keliling dunia. Juga ada Vina Garut yg pernah bikin gempar Indonesia.,garut nama yg mulai mendunia gara gara band vob yg konser keliling dunia juga ada vina garut yg pernah bikin gempar indonesia,netral,Gunung Puntang
kangen gn.puntang yg dulu.. skrng mau masuk ke kolam cinta nya harus bayar lagi 😅,kangen gnpuntang yg dulu skrng mau masuk ke kolam cinta nya harus bayar lagi,netral,Ranca Upas
Hadir nyimak mantap keren lokasi nya terimakasih informasinya bang moga sehat selalu ya sukses terus👍👍💪,hadir nyimak mantap keren lokasi nya terimakasih informasinya bang moga sehat selalu ya sukses terus,positif,Gunung Puntang
"Alus sakieu mah, make pisan leuwih alus..👍👍👍",alus sakieu mah make pisan leuwih alus,netral,Kawah Putih
"Pantesan banyak stasiun radio di Bandung yg keren2 sekarang, ternyata sejarah awal radio tercanggih didunia lahir disini 😊",pantesan banyak stasiun radio di bandung yg keren sekarang ternyata sejarah awal radio tercanggih didunia lahir disini,positif,Gunung Puntang
Kenapa di biarkan begitu aja bgm pemda bandung,kenapa di biarkan begitu aja bgm pemda bandung,negatif,Gunung Puntang
"Hatur nuhun dulur
Tos  mere informasi NU sakie jentre na
Jadi nyaho tentang sejarah na radio malabar 🙏 
Mugia channel na lebih sukses dei 
Salam ti urang Subang Kaler",hatur nuhun dulur tos mere informasi nu sakie jentre na jadi nyaho tentang sejarah na radio malabar mugia channel na lebih sukses dei salam ti urang subang kaler,netral,Ranca Upas
"Tuhan akan selalu bersama dengan seorang petualang sejati yang tidak akan pernah berhenti berpetualang.""❤
Salam sukses dari gorontalo utara banv...🤝🤝🤝",tuhan akan selalu bersama dengan seorang petualang sejati yang tidak akan pernah berhenti berpetualang salam sukses dari gorontalo utara banv,netral,Kawah Putih
Belegug yah...peninggalan bersejarah eh malah dihancurin.,belegug yahpeninggalan bersejarah eh malah dihancurin,negatif,Ranca Upas
"Mestinya diambil alih atau dikuasai oleh pihak Indonesia akan lebih baik, karena kita bisa mempelajari teknologinya pada saat itu.",mestinya diambil alih atau dikuasai oleh pihak indonesia akan lebih baik karena kita bisa mempelajari teknologinya pada saat itu,netral,Glamping Lakeside
"Salam kompak dan sukses selalu, bersatulah wahai rakyat NUSANTARA... !!!",salam kompak dan sukses selalu bersatulah wahai rakyat nusantara,netral,Situ Patenggang
Baru tau saya klw ada stasiun radio peninggalan belanda,baru tau saya klw ada stasiun radio peninggalan belanda,netral,Kawah Putih
Dulu kolam cinta tempat saya berenang 😅,dulu kolam cinta tempat saya berenang,positif,Gunung Puntang
Makam eyang dari bpk. Di gunung pananjung pangandaran dulu di parigi daerah krapyak yg ada sejarah dewata cengkar dan ajisaka,makam eyang dari bpk di gunung pananjung pangandaran dulu di parigi daerah krapyak yg ada sejarah dewata cengkar dan ajisaka,netral,Glamping Lakeside
Resep mun geus ngevlog chanel iyeu. Like pkona mah,resep mun geus ngevlog chanel iyeu like pkona mah,netral,Glamping Lakeside
"Enak tempatnya bang,tu kan gunungnya puncak mega ya,tempat bersejarah jg",enak tempatnya bangtu kan gunungnya puncak mega yatempat bersejarah jg,positif,Situ Patenggang
Hatur muhun ats informasinya..semoga bertambah sukces Chanel nya.,hatur muhun ats informasinyasemoga bertambah sukces chanel nya,positif,Ranca Upas
*JAS MERAH* - Jangan Melupakan Sejarah. Keren Mantap Lokasi ini,jas merah jangan melupakan sejarah keren mantap lokasi ini,positif,Situ Patenggang
Kenapa nama stasiun nya Malabar??? 🙏,kenapa nama stasiun nya malabar,netral,Gunung Puntang
"Dulu waktu awal tahun 2022 saya berkunjung ke radio malabar dan menyusuri bagian belakang nya sangat menyeramkan dg rimbun nya semak semak ada perasaan ngeri di hati.
Saya pernah dengar dari channel youtube lain yg mengungkap misteri radio malabar dan gunung puntang melalui sisi gaib nya, kata penjaga gaib gunung puntang, tetap lestarikan mistis nya gunung puntang agar kelestarian alam gunung puntang tetap terjaga...",dulu waktu awal tahun saya berkunjung ke radio malabar dan menyusuri bagian belakang nya sangat menyeramkan dg rimbun nya semak semak ada perasaan ngeri di hati saya pernah dengar dari channel youtube lain yg mengungkap misteri radio malabar dan gunung puntang melalui sisi gaib nya kata penjaga gaib gunung puntang tetap lestarikan mistis nya gunung puntang agar kelestarian alam gunung puntang tetap terjaga,netral,Gunung Puntang
"Terima kasih adrasa ID sudah banyak memberikan informasi seputar beraneka ragam tentang jawa barat. Terutama budaya, sejarah dan tak lupa horor nya. Cukup puas jga dgn durasinya. Klo bisa ragam informasi mitos lainnya seputar Jawa barat. Terimakasih",terima kasih adrasa id sudah banyak memberikan informasi seputar beraneka ragam tentang jawa barat terutama budaya sejarah dan tak lupa horor nya cukup puas jga dgn durasinya klo bisa ragam informasi mitos lainnya seputar jawa barat terimakasih,positif,Kawah Putih
"wow, baru tahu saya",wow baru tahu saya,positif,Ranca Upas
sayang sekali sekarang cuma tinggal puing-puing🥲,sayang sekali sekarang cuma tinggal puingpuing,netral,Kawah Putih
hutannya masih lebat yah,hutannya masih lebat yah,positif,Ranca Upas
Sayang sekali di hacurkan. Padahal itu peninggalan sejarah.,sayang sekali di hacurkan padahal itu peninggalan sejarah,netral,Kawah Putih
"Kang, up juga pemancar nya yang di dyeuh kolot. Hatur nuhun sukses slalu",kang up juga pemancar nya yang di dyeuh kolot hatur nuhun sukses slalu,netral,Situ Patenggang
Mantappp,mantappp,positif,Kawah Putih
Koreksi min kecamatan Cimaung,koreksi min kecamatan cimaung,netral,Gunung Puntang
Menarik sekali,menarik sekali,positif,Glamping Lakeside
"Saya gak tertarik sih..
Lah wong saya tinggal nya juga di desa 😅
Pemandangan kek gini udah sehari hari 
Dan gak punya duit juga untuk boking 😅😅
Ini market nya memang utk org kota yg pengin nyantai dkit",saya gak tertarik sih lah wong saya tinggal nya juga di desa pemandangan kek gini udah sehari hari dan gak punya duit juga untuk boking ini market nya memang utk org kota yg pengin nyantai dkit,negatif,Ranca Upas
beautiful place,beautiful place,netral,Situ Patenggang
Minta nmer adminnya dunk,minta nmer adminnya dunk,netral,Situ Patenggang
"Tadinya mau liburan ke taman kopi guntang, eeeehh....jdi mikir mikir lagi",tadinya mau liburan ke taman kopi guntang eeeehhjdi mikir mikir lagi,negatif,Gunung Puntang
"😂😂.. untung lihat vidio ini,  rencana acara rutin 6 bulanan kluarga besar skitar 46 sd 60an orang mau nginap  disana, KLO bayar perorang terpaksa mau dibahas ulang, cari destinasi yg lain aja dah.  25.000 x 60 = 1.500.000  😂😂 ❌❌❌ mnding nambahin Gope atau sejuta dapet dah kambing guling .",untung lihat vidio ini rencana acara rutin bulanan kluarga besar skitar sd an orang mau nginap disana klo bayar perorang terpaksa mau dibahas ulang cari destinasi yg lain aja dah x mnding nambahin gope atau sejuta dapet dah kambing guling,negatif,Kawah Putih
Viral apanya klo pengunjungnya kecewa dgn manajemen yg gak beres,viral apanya klo pengunjungnya kecewa dgn manajemen yg gak beres,negatif,Kawah Putih
pungli gimana daerah sini mas?. aman?.,pungli gimana daerah sini mas aman,netral,Gunung Puntang
Untuk orang kaya,untuk orang kaya,netral,Ranca Upas
"naik drastis baru beberapa bln yg lalu kesana,skrg udah lngsng jutaan az harga'y",naik drastis baru beberapa bln yg lalu kesanaskrg udah lngsng jutaan az hargay,netral,Glamping Lakeside
Lokasi di mana ini bang,lokasi di mana ini bang,netral,Situ Patenggang
"aku pengen sungainya ada buayanya,sama anak conda.",aku pengen sungainya ada buayanyasama anak conda,netral,Situ Patenggang
Pada ngerusak alam aja 😂😂,pada ngerusak alam aja,negatif,Kawah Putih
"Mantapp ka, o y kak di stu ada sinyal / wifi ga?",mantapp ka o y kak di stu ada sinyal / wifi ga,positif,Glamping Lakeside
"Pintu masuk ada pungli nya, parah anjing banget",pintu masuk ada pungli nya parah anjing banget,negatif,Gunung Puntang
Hrgny BRP masntap,hrgny brp mantap,netral,Situ Patenggang
MEHONG ... Katanya bnayak pungutan ..,mehong katanya bnayak pungutan,negatif,Gunung Puntang
"Semua Reviewnya BAGUS dan BAGUS... gk di jelaskan kurangnya juga.
padahal pasti ada minusnya..",semua reviewnya bagus dan bagus gk di jelaskan kurangnya juga padahal pasti ada minusnya,positif,Kawah Putih
Mantap sekali bang,mantap sekali bang,positif,Kawah Putih
"SANGAT KECEWAAA..KITA KESITU INGIN MENIKMATI SUARA ALAM, GEMERICIK AIR..EH ADA LIVE MUSIC YANG NGGA BERHENTI2 DARI SIANG SAMPE MALAM SANGAT MENGGANGGU, DAN BUAT APA KONSEP ALAM TAPI DI  GANGGU OLEH SUARA SOUND SYSTEM..KALO MAU MUSIC YA DI KOTA AJA HADUUUH..KECEWAAAA",sangat kecewaaa kita kesitu ingin menikmati suara alam gemericik aireh ada live music yang ngga berhenti dari siang sampe malam sangat mengganggu dan buat apa konsep alam tapi di ganggu oleh suara sound systemkalo mau music ya di kota aja haduuuh kecewaaaa,negatif,Ranca Upas
Baru kmrn dr sn... lum bs move on pingin ksn lg nanti 😍,baru kmrn dr sn lum bs move on pingin ksn lg nanti,positif,Kawah Putih
"Harusnya kalau nginep diglamping / villa jangan di pungut biaya masuk diloket, harusnya udah include biaya masuk",harusnya kalau nginep diglamping villa jangan di pungut biaya masuk diloket harusnya udah include biaya masuk,netral,Ranca Upas
Harga glamping weekend brp kak,harga glamping weekend brp kak,netral,Ranca Upas
Daerah mana nya k kalo untuk pesan kamar brpa ya ka,daerah mana nya k kalo untuk pesan kamar brpa ya ka,netral,Gunung Puntang
"Bang minta alamatnya bang salam kenal dari aku,",bang minta alamatnya bang salam kenal dari aku,netral,Kawah Putih
Widih2..... asri bgt,widih asri bgt,positif,Kawah Putih
"Parah, nginep disana, masa masuk area sana tetep di pungut biaya, harus di perbaiki manejemen nya itu, apalagi itu villa nya di atas 1,5 juta. Bayangin klu dtg 6 org, di kali 25rb buat masuk area sana, trus mobil pun di hitung.. Itu villa area pemalakan secara halus..",parah nginep disana masa masuk area sana tetep di pungut biaya harus di perbaiki manejemen nya itu apalagi itu villa nya di atas juta bayangin klu dtg org di kali rb buat masuk area sana trus mobil pun di hitung itu villa area pemalakan secara halus,negatif,Glamping Lakeside
asri bngt,asri bngt,positif,Gunung Puntang
INI CARA MERUSAK ALAM DENGAN JUDUL WISATA,ini cara merusak alam dengan judul wisata,negatif,Situ Patenggang
Bisa2 g mau pulang kalau sudah disitu,bisa g mau pulang kalau sudah disitu,netral,Gunung Puntang
KEREN ABANG KU,keren abang ku,positif,Kawah Putih
"Sumpah udah lengkap bgt review nya, yg masih nanya nanya ada masalah hidup apa ya tuhannnnnn😢😢😢",sumpah udah lengkap bgt review nya yg masih nanya nanya ada masalah hidup apa ya tuhannnnnn,netral,Ranca Upas
Bahayaa klog musim hujannn,bahayaa klog musim hujannn,netral,Ranca Upas
Cara reservasi bagaimana ?,cara reservasi bagaimana,netral,Glamping Lakeside
Kalau bawa pacar apa bisa nginep di situ bang,kalau bawa pacar apa bisa nginep di situ bang,negatif,Kawah Putih
"😍😍 next mau coba , kemaren coba camping aja di gunung puntangnya .",next mau coba kemaren coba camping aja di gunung puntangnya,netral,Gunung Puntang
Berapa /mlm ?,berapa mlm,netral,Kawah Putih
Big bus bisa masuk area parkir kah?,big bus bisa masuk area parkir kah,netral,Ranca Upas
Dimn itu daerah nyaa,dimn itu daerah nyaa,netral,Situ Patenggang
Kak jalanannya berkelok2 / ngeri GK ya? Soalnya baru bisa  mobil (5blnan) .. tlong infonya ya kak,kak jalanannya berkelok ngeri gk ya soalnya baru bisa mobil blnan tlong infonya ya kak,netral,Gunung Puntang
Masuk bis gak ?,masuk bis gak,netral,Situ Patenggang
refrensi nantep nih bang,refrensi mantep nih bang,positif,Kawah Putih
Lampung terkenal kang parkir malak nya di semua tempat wisatanya.. aman kah disitu...,lampung terkenal kang parkir malak nya di semua tempat wisatanya aman kah disitu,netral,Kawah Putih
Terimakasih  atas  infonya,terimakasih atas infonya,positif,Ranca Upas
Suka sekali.....🏕️🏕️🏕️,suka sekali,positif,Situ Patenggang
Keren 8,keren,positif,Glamping Lakeside
"Tempat bagus, tapi punglinya banyak ngga ? 🙏",tempat bagus tapi punglinya banyak ngga,netral,Ranca Upas
Nama tempat wisata nya apa ka,nama tempat wisata nya apa ka,netral,Gunung Puntang
keren masih asri,keren masih asri,positif,Ranca Upas
Jancok Mahal 6juta ges... mending ke bali saja..wkwkwkwkw..,jancok mahal juta ges mending ke bali sajawkwkwkwkw,negatif,Ranca Upas
Sejuk kang mantul,sejuk kang mantul,positif,Kawah Putih
"Dalam bait lagu rhoma irama,,, rekreasi yang mahal serta memikat itulah yg selalu di cari,,, 😮😮",dalam bait lagu rhoma irama rekreasi yang mahal serta memikat itulah yg selalu di cari,negatif,Gunung Puntang
"Sudah banyak sekalj perubahanya...
Waktu zaman smp masih ada puing puing bangunan bekas rumah Belanda.
Dan ada kolam plta...
Terakhir kesana tahun 99.
Sampe aekarang belum pernah kesana lagi...
Waktu dulu seminggu sekali main kesana...",sudah banyak sekalj perubahanya waktu zaman smp masih ada puing puing bangunan bekas rumah belanda dan ada kolam plta terakhir kesana tahun sampe aekarang belum pernah kesana lagi waktu dulu seminggu sekali main kesana,netral,Gunung Puntang
Panorama alam Indonesia,panorama alam indonesia,netral,Ranca Upas
ini di sentul ya,ini di sentul ya,netral,Ranca Upas
Mantap s suasana alam kopi guntan,mantap s suasana alam kopi guntan,positif,Glamping Lakeside
"Minta no wa nya dong ka, buat reservasi...",minta no wa nya dong ka buat reservasi,netral,Glamping Lakeside
Banyak nyamuk gak bang?? Serem gak kalau malam,banyak nyamuk gak bang serem gak kalau malam,netral,Kawah Putih
"Kak mau tanya dong, sinyal provider yg nyampe disana apakah hanya telkomsel aja atau ada provider lain ya? Soalnya mau ada acara gathering perusahaan kesana minggu depan. Mohon infonya terima kasih",kak mau tanya dong sinyal provider yg nyampe disana apakah hanya telkomsel aja atau ada provider lain ya soalnya mau ada acara gathering perusahaan kesana minggu depan mohon infonya terima kasih,netral,Ranca Upas
Minta nomernya kang villa nya,minta nomernya kang villa nya,netral,Gunung Puntang
Ga ad bed buat 2 orng ya ka ?,ga ad bed buat orng ya ka,netral,Ranca Upas
Mau reservasi kmn ka  .mohon info,mau reservasi kmn ka mohon info,netral,Glamping Lakeside
Keren sekali..,keren sekali,positif,Glamping Lakeside
Wahhhhh cakep kak 😍,wahhhhh cakep kak,positif,Ranca Upas
"Waw, bener2 indah banget, pastinya lebih dingin drpd puncak, cakep😍",waw bener indah banget pastinya lebih dingin drpd puncak cakep,positif,Glamping Lakeside
"/mlm berpa lok mna k""",mlm berpa lok mna k,netral,Gunung Puntang
"Waduh, kelas menengah kebawah ky nya ga sanggup dech..
Karena terlalu mewah😅",waduh kelas menengah kebawah ky nya ga sanggup dech karena terlalu mewah,netral,Situ Patenggang
Mantab ..  sejuk skali 👍,mantab sejuk skali,netral,Situ Patenggang
Ini cara booking nya gmn si jir,ini cara booking nya gmn si jir,netral,Glamping Lakeside
"Berwisatanya pake uang halal, jgn uang haram hasil mark up hadiah grstifikasi dr vendor yg melanggar integrity",berwisatanya pake uang halal jgn uang haram hasil mark up hadiah grstifikasi dr vendor yg melanggar integrity,netral,Glamping Lakeside
Kalo pake kendaraan umum bisa kah ?,kalo pake kendaraan umum bisa kah,netral,Gunung Puntang
nama Ignya apa bang ? pleaseeeeee,nama ignya apa bang pleaseeeeee,netral,Glamping Lakeside
sepertinya saya wajib menabung untuk mengunjungi tempat ini 😂,sepertinya saya wajib menabung untuk mengunjungi tempat ini,netral,Kawah Putih
Tempatnya Masya Allah 😎,tempatnya masya allah,netral,Ranca Upas
Cuacanya dingin atau tdk dan harga berapa,cuacanya dingin atau tdk dan harga berapa,netral,Glamping Lakeside
Jalan untuk masuk dan keluar itu smaa ga? Khwatir papasan,jalan untuk masuk dan keluar itu smaa ga khwatir papasan,netral,Gunung Puntang
jos bang..,jos bang,netral,Situ Patenggang
Keren bikin tenang dan adem,keren bikin tenang dan adem,positif,Glamping Lakeside
KK di situ ada  filanya  tidak,kk di situ ada filanya tidak,netral,Glamping Lakeside
Kak itu berangkat nya bulan apa ?,kak itu berangkat nya bulan apa,netral,Gunung Puntang
idaman bangeeeet ❤❤❤❤,idaman bangeeeet,netral,Glamping Lakeside
total brp jam perjalanan ka?,total brp jam perjalanan ka,netral,Gunung Puntang
"Yang dulu tempat tinggal nya orang desa ,dusun , orang kota    merendahkan nya sekarang malah jadi tempat yang mahal 😅
Buat yang berumur 60 tahun keatas yang kecilnya tinggal di desa ini merupakan kenangan yang begitu Indah karena banyak kolam dan air mancur alami untuk mandi dan gratis..
Sekarang jadi mahal 😅",yang dulu tempat tinggal nya orang desa dusun orang kota merendahkan nya sekarang malah jadi tempat yang mahal buat yang berumur tahun keatas yang kecilnya tinggal di desa ini merupakan kenangan yang begitu indah karena banyak kolam dan air mancur alami untuk mandi dan gratis sekarang jadi mahal,negatif,Glamping Lakeside
sungai nya gak ada ikannya....gak enak camping di situ,sungai nya gak ada ikannyagak enak camping di situ,positif,Kawah Putih
Mantap.. ..👍👍👍👍,mantap,positif,Kawah Putih
Kayak udah pernah diupload sih kak? Apa reupload???,kayak udah pernah diupload sih kak apa reupload,netral,Kawah Putih
pemandangan indah,pemandangan indah,positif,Ranca Upas
"Tempat camping ny juga seru lho,,😊",tempat camping ny juga seru lho,positif,Situ Patenggang
Taman kopi Guntang...wow sangat keren... sangat recommended untuk  liburan keluarga.👍,taman kopi guntangwow sangat keren sangat recommended untuk liburan keluarga,positif,Ranca Upas
Kehadiran manusia akan merusak alam😮😢,kehadiran manusia akan merusak alam,negatif,Ranca Upas
"Wah kerenn jadi pengen ksanaaa
Harus booking by wa yaah kak? Blm ada di traveloka?",wah kerenn jadi pengen ksanaaa harus booking by wa yaah kak blm ada di traveloka,positif,Situ Patenggang
